programme_id,programme_entry_date,programme_rss_link,podcast_title,podcast_date,podcast_duration,audio_podcast_link,transcript
RMC__Le_grand_oral_des_GG,2020-07-30,http://podcast.rmc.fr/channel49/RMCInfochannel49.xml,Le quiz des GG - 19/05,"Fri, 19 May 2023 08:56:42 +0000",00:07:01,https://altice.simplecastaudio.com/42fbea50-51c2-494a-99ff-d5d19181fa59/episodes/f9c0c7ee-e88e-403b-bfb6-4a99967412bf/audio/128/default.mp3?aid=rss_feed&awCollectionId=42fbea50-51c2-494a-99ff-d5d19181fa59&awEpisodeId=f9c0c7ee-e88e-403b-bfb6-4a99967412bf&category=News&episode_published_at=2023-05-19T08%3A56%3A42&episode_title=Le+quiz+des+GG+-+19%2F05&feed=zhqTts_x&network=243043218706&podcast_title=Le+quiz+des+GG,
RMC__Le_grand_oral_des_GG,2020-07-30,http://podcast.rmc.fr/channel49/RMCInfochannel49.xml,Le quiz des GG - 18/05,"Thu, 18 May 2023 09:00:21 +0000",00:06:26,https://altice.simplecastaudio.com/42fbea50-51c2-494a-99ff-d5d19181fa59/episodes/2825a33b-b477-4cd6-8ad0-121c2cdf7510/audio/128/default.mp3?aid=rss_feed&awCollectionId=42fbea50-51c2-494a-99ff-d5d19181fa59&awEpisodeId=2825a33b-b477-4cd6-8ad0-121c2cdf7510&category=News&episode_published_at=2023-05-18T09%3A00%3A21&episode_title=Le+quiz+des+GG+-+18%2F05&feed=zhqTts_x&network=243043218706&podcast_title=Le+quiz+des+GG,
RMC__Le_grand_oral_des_GG,2020-07-30,http://podcast.rmc.fr/channel49/RMCInfochannel49.xml,Le quiz des GG - 17/05,"Wed, 17 May 2023 09:03:21 +0000",00:06:12,https://altice.simplecastaudio.com/42fbea50-51c2-494a-99ff-d5d19181fa59/episodes/63e8a1fd-59d1-4874-b8e7-07d34e91febe/audio/128/default.mp3?aid=rss_feed&awCollectionId=42fbea50-51c2-494a-99ff-d5d19181fa59&awEpisodeId=63e8a1fd-59d1-4874-b8e7-07d34e91febe&category=News&episode_published_at=2023-05-17T09%3A03%3A21&episode_title=Le+quiz+des+GG+-+17%2F05&feed=zhqTts_x&network=243043218706&podcast_title=Le+quiz+des+GG,
RMC__Le_grand_oral_des_GG,2020-07-30,http://podcast.rmc.fr/channel49/RMCInfochannel49.xml,Le quiz des GG - 16/05,"Tue, 16 May 2023 09:14:41 +0000",00:06:38,https://altice.simplecastaudio.com/42fbea50-51c2-494a-99ff-d5d19181fa59/episodes/bc37e44a-3a7d-452c-9bab-d5aac6ec289d/audio/128/default.mp3?aid=rss_feed&awCollectionId=42fbea50-51c2-494a-99ff-d5d19181fa59&awEpisodeId=bc37e44a-3a7d-452c-9bab-d5aac6ec289d&category=News&episode_published_at=2023-05-16T09%3A14%3A41&episode_title=Le+quiz+des+GG+-+16%2F05&feed=zhqTts_x&network=243043218706&podcast_title=Le+quiz+des+GG,
RMC__Le_grand_oral_des_GG,2020-07-30,http://podcast.rmc.fr/channel49/RMCInfochannel49.xml,Le quiz des GG - 15/05,"Mon, 15 May 2023 08:58:01 +0000",00:05:38,https://altice.simplecastaudio.com/42fbea50-51c2-494a-99ff-d5d19181fa59/episodes/fe73a9ee-e5d9-4712-bf2a-cd04c284c5a0/audio/128/default.mp3?aid=rss_feed&awCollectionId=42fbea50-51c2-494a-99ff-d5d19181fa59&awEpisodeId=fe73a9ee-e5d9-4712-bf2a-cd04c284c5a0&category=News&episode_published_at=2023-05-15T08%3A58%3A01&episode_title=Le+quiz+des+GG+-+15%2F05&feed=zhqTts_x&network=243043218706&podcast_title=Le+quiz+des+GG,
RMC__Le_grand_oral_des_GG,2020-07-30,http://podcast.rmc.fr/channel49/RMCInfochannel49.xml,Le quiz des GG - 12/05,"Fri, 12 May 2023 08:59:52 +0000",00:05:35,https://altice.simplecastaudio.com/42fbea50-51c2-494a-99ff-d5d19181fa59/episodes/2baf8657-83fd-40b2-920b-ab1134347d25/audio/128/default.mp3?aid=rss_feed&awCollectionId=42fbea50-51c2-494a-99ff-d5d19181fa59&awEpisodeId=2baf8657-83fd-40b2-920b-ab1134347d25&category=News&episode_published_at=2023-05-12T08%3A59%3A52&episode_title=Le+quiz+des+GG+-+12%2F05&feed=zhqTts_x&network=243043218706&podcast_title=Le+quiz+des+GG,
RMC__Le_grand_oral_des_GG,2020-07-30,http://podcast.rmc.fr/channel49/RMCInfochannel49.xml,Le quiz des GG - 11/05,"Thu, 11 May 2023 08:58:43 +0000",00:06:39,https://altice.simplecastaudio.com/42fbea50-51c2-494a-99ff-d5d19181fa59/episodes/321349a3-8405-4437-9bcb-218a643387a7/audio/128/default.mp3?aid=rss_feed&awCollectionId=42fbea50-51c2-494a-99ff-d5d19181fa59&awEpisodeId=321349a3-8405-4437-9bcb-218a643387a7&category=News&episode_published_at=2023-05-11T08%3A58%3A43&episode_title=Le+quiz+des+GG+-+11%2F05&feed=zhqTts_x&network=243043218706&podcast_title=Le+quiz+des+GG,
RMC__Le_grand_oral_des_GG,2020-07-30,http://podcast.rmc.fr/channel49/RMCInfochannel49.xml,Le quiz des GG - 10/05,"Wed, 10 May 2023 09:00:21 +0000",00:05:38,https://altice.simplecastaudio.com/42fbea50-51c2-494a-99ff-d5d19181fa59/episodes/81020afc-57fa-4e46-8fdf-33c050fa40ee/audio/128/default.mp3?aid=rss_feed&awCollectionId=42fbea50-51c2-494a-99ff-d5d19181fa59&awEpisodeId=81020afc-57fa-4e46-8fdf-33c050fa40ee&category=News&episode_published_at=2023-05-10T09%3A00%3A21&episode_title=Le+quiz+des+GG+-+10%2F05&feed=zhqTts_x&network=243043218706&podcast_title=Le+quiz+des+GG,
RMC__Le_grand_oral_des_GG,2020-07-30,http://podcast.rmc.fr/channel49/RMCInfochannel49.xml,Le quiz des GG - 09/05,"Tue, 9 May 2023 08:58:31 +0000",00:07:05,https://altice.simplecastaudio.com/42fbea50-51c2-494a-99ff-d5d19181fa59/episodes/53e5ec78-f1b4-4c77-b389-1f531007b369/audio/128/default.mp3?aid=rss_feed&awCollectionId=42fbea50-51c2-494a-99ff-d5d19181fa59&awEpisodeId=53e5ec78-f1b4-4c77-b389-1f531007b369&category=News&episode_published_at=2023-05-09T08%3A58%3A31&episode_title=Le+quiz+des+GG+-+09%2F05&feed=zhqTts_x&network=243043218706&podcast_title=Le+quiz+des+GG,
RMC__Le_grand_oral_des_GG,2020-07-30,http://podcast.rmc.fr/channel49/RMCInfochannel49.xml,Le quiz des GG - 08/05,"Mon, 8 May 2023 09:01:12 +0000",00:06:33,https://altice.simplecastaudio.com/42fbea50-51c2-494a-99ff-d5d19181fa59/episodes/737660f0-705f-4011-8d1a-4843ba93baee/audio/128/default.mp3?aid=rss_feed&awCollectionId=42fbea50-51c2-494a-99ff-d5d19181fa59&awEpisodeId=737660f0-705f-4011-8d1a-4843ba93baee&category=News&episode_published_at=2023-05-08T09%3A01%3A12&episode_title=Le+quiz+des+GG+-+08%2F05&feed=zhqTts_x&network=243043218706&podcast_title=Le+quiz+des+GG,
